Date,Open,High,Low,Close,Adj Close,Volume
2022-04-19,0.074892,0.075004,0.074682,0.074793,0.074793,341087
2022-04-20,0.074789,0.074975,0.074265,0.074388,0.074388,375773
2022-04-21,0.07439,0.07401,0.073803,0.073715,0.073715,512829
2022-04-22,0.073702,0.07423,0.074796,0.074605,0.074605,422312
2022-04-23,0.074604,0.074506,0.074294,0.074408,0.074408,230887
2022-04-24,0.074388,0.074543,0.074085,0.074051,0.074051,245680
2022-04-25,0.074057,0.074934,0.073151,0.074383,0.074383,551993
2022-04-26,0.074372,0.074462,0.073338,0.073675,0.073675,499825
2022-04-27,0.073684,0.073958,0.073749,0.07362,0.07362,443904
2022-04-28,0.073618,0.074006,0.073387,0.073841,0.073841,463710
2022-04-29,0.073837,0.073903,0.072737,0.072924,0.072924,486173
2022-04-30,0.072923,0.073261,0.072302,0.07239,0.07239,358504
2022-05-01,0.072385,0.07358,0.072337,0.073507,0.073507,398573
2022-05-02,0.073504,0.074145,0.072929,0.074162,0.074162,483002
2022-05-03,0.074155,0.074161,0.073484,0.073734,0.073734,345058
2022-05-04,0.073724,0.074154,0.073622,0.074075,0.074075,458123
2022-05-05,0.074064,0.074237,0.075329,0.075166,0.075166,619080
2022-05-06,0.075158,0.075437,0.074554,0.074776,0.074776,583437
2022-05-07,0.074776,0.07483,0.074139,0.074252,0.074252,376579
2022-05-08,0.074253,0.074466,0.073528,0.073914,0.073914,610767
2022-05-09,0.073945,0.073903,0.073281,0.074114,0.074114,1199248
2022-05-10,0.074022,0.076057,0.073652,0.075541,0.075541,1231416
2022-05-11,0.075517,0.076574,0.071666,0.071609,0.071609,1580828
2022-05-12,0.071623,0.072582,0.066348,0.067534,0.067534,1461851
2022-05-13,0.067479,0.069203,0.067462,0.068791,0.068791,847454
2022-05-14,0.068786,0.069422,0.06811,0.068312,0.068312,513501
2022-05-15,0.068309,0.068661,0.067816,0.068542,0.068542,474238
2022-05-16,0.068546,0.068546,0.067971,0.067734,0.067734,718602
2022-05-17,0.067739,0.068922,0.068159,0.068705,0.068705,608362
2022-05-18,0.068707,0.06883,0.066735,0.066735,0.066735,617716
2022-05-19,0.066718,0.06671,0.066426,0.06658,0.06658,618000
2022-05-20,0.066569,0.067474,0.06681,0.067167,0.067167,544249
2022-05-21,0.067156,0.067266,0.066697,0.067087,0.067087,290390
2022-05-22,0.067092,0.067304,0.067126,0.067379,0.067379,360811
2022-05-23,0.067351,0.068103,0.067698,0.067775,0.067775,564782
2022-05-24,0.067782,0.067761,0.066707,0.066732,0.066732,440292
2022-05-25,0.066722,0.066898,0.06602,0.065787,0.065787,452080
2022-05-26,0.065794,0.065818,0.062112,0.061636,0.061636,801534
2022-05-27,0.061589,0.061867,0.060095,0.060254,0.060254,889728
2022-05-28,0.060244,0.061008,0.060244,0.06057,0.06057,799862
2022-05-29,0.061749,0.061863,0.061216,0.061538,0.061538,361427
2022-05-30,0.061533,0.063025,0.061571,0.062927,0.062927,617177
2022-05-31,0.062926,0.063182,0.0611,0.061094,0.061094,577596
2022-06-01,0.061086,0.061733,0.060178,0.061195,0.061195,705988
2022-06-02,0.061157,0.06032,0.060113,0.0602,0.0602,560107
2022-06-03,0.0602,0.060068,0.059205,0.059758,0.059758,500869
2022-06-04,0.059763,0.060508,0.059358,0.06039,0.06039,290885
2022-06-05,0.060397,0.060728,0.060073,0.060361,0.060361,295934
2022-06-06,0.060376,0.060938,0.060379,0.059268,0.059268,526558
2022-06-07,0.05927,0.059706,0.059001,0.058226,0.058226,770974
2022-06-08,0.058227,0.058778,0.058924,0.059362,0.059362,597116
2022-06-09,0.05936,0.059705,0.059154,0.059439,0.059439,398947
2022-06-10,0.059434,0.059476,0.057194,0.05725,0.05725,636256
2022-06-11,0.057256,0.057143,0.05323,0.053936,0.053936,744940
2022-06-12,0.053954,0.054033,0.052609,0.054001,0.054001,876784
2022-06-13,0.05395,0.054102,0.053143,0.053567,0.053567,2008361
2022-06-14,0.053566,0.055103,0.051649,0.054563,0.054563,1500794
2022-06-15,0.054549,0.055112,0.050817,0.054632,0.054632,1663061
2022-06-16,0.05465,0.054801,0.052174,0.052387,0.052387,927681
2022-06-17,0.052399,0.052711,0.052168,0.053075,0.053075,712771
2022-06-18,0.053068,0.052815,0.050566,0.052248,0.052248,1138701
2022-06-19,0.052236,0.055229,0.052139,0.054865,0.054865,1060439
2022-06-20,0.054865,0.055536,0.053915,0.054741,0.054741,958259
2022-06-21,0.054735,0.054851,0.054352,0.054312,0.054312,754787
2022-06-22,0.054338,0.054381,0.052766,0.052605,0.052605,751017
2022-06-23,0.052601,0.054244,0.052642,0.054225,0.054225,695151
2022-06-24,0.054217,0.058019,0.054518,0.057784,0.057784,799822
2022-06-25,0.057778,0.057997,0.056484,0.057828,0.057828,580492
2022-06-26,0.057807,0.058426,0.05704,0.057061,0.057061,575281
2022-06-27,0.057055,0.057572,0.05709,0.057567,0.057567,602457
2022-06-28,0.057546,0.058326,0.056337,0.056437,0.056437,691458
2022-06-29,0.056434,0.056612,0.054671,0.054663,0.054663,765334
